Unnamed: 0,address,final_price,commune,rooms
29.2,Örnsätrabacken 194 - Accepterat pris!,6800000,"Sätra, Stockholms kommun",8.0
30.2,Skovelvägen 21,11750000,"Älvsjö, Stockholms kommun",7.0
31.2,Sörgårdsvägen 76,8835000,"Spånga - Solhem, Stockholms kommun",7.0
32.2,Dalkarlsvägen 47,9000000,"Stuvsta Segersminne, Huddinge kommun",6.0
33.2,Solrosvägen 81,9300000,"Älvsjö/Herrängen, Stockholms kommun",5.0
34.2,Gränsvägen 34,12000000,"Lindalen, Tyresö kommun",
35.2,Gråhundsvägen 212,6650000,"Sköndal, Stockholms kommun",6.0
36.2,Bivägen 9,7725000,"Älvsjö/Långbro, Stockholms kommun",4.0
37.2,Lammholmsbacken 66,4700000,"Skärholmen, Stockholms kommun",5.0
38.2,Västermovägen 68,9400000,"Örby, Stockholms kommun",8.0
39.2,Vinkelvägen 5,12900000,"Gamla Enskede, Stockholms kommun",4.0
40.2,Björkallén 1,6850000,"Fållan, Huddinge kommun",7.0
41.2,Ringvägen 33,6200000,"Hanviken, Tyresö kommun",6.0
42.2,Fållnäsgatan 93,10000000,"Svedmyra/Enskede, Stockholms kommun",6.0
43.2,Höckertsvägen 9,16750000,"Södra Ängby, Stockholms kommun",7.0
44.2,Ambravägen 18,8200000,"Beckomberga, Stockholms kommun",5.0
45.2,Granåsbacken 5,9500000,"Spånga Flysta, Stockholms kommun",10.0
46.2,Svalvägen 9,9500000,"Segeltorp, Huddinge kommun",6.0
47.2,Amatörvägen 46,7595000,"Tallkrogen, Stockholms kommun",5.0
48.2,Frösövägen 25,9750000,"Snättringe/Långsjön, Huddinge kommun",5.0
49.2,Lupinvägen 6,7800000,"Hässelby Södra Villastad, Stockholms kommun",6.0
0.3,Kårebacken 6,8450000,"Spånga - Solhöjden, Stockholms kommun",5.0
1.3,Kaprifolvägen 22,6075000,"Hässelby Södra Villastad, Stockholms kommun",5.0
2.3,Solhemsbackarna 198B,8100000,"Spånga - Solhem, Stockholms kommun",8.0
3.3,Gullvivegränd 26,5800000,"Hässelby - Norra Villastad, Stockholms kommun",5.0
4.3,Tryffelgränd 7,9940000,"Gamla Enskede, Stockholms kommun",5.0
5.3,Skattegränd 4B,6650000,"Spånga Bromsten, Stockholms kommun",5.0
6.3,Skallgångsbacken 27,9600000,"Solhem, Stockholms kommun",6.0
7.3,Kaprifolvägen 35,7900000,"Hässelby Södra Villastad, Stockholms kommun",7.0
8.3,Berghamnsbrinken 1,9750000,"Hässelby Södra Villastad, Stockholms kommun",8.0
9.3,Hjortsbergsvägen 56,11750000,"Hägersten, Stockholms kommun",4.0
10.3,Skälbyvägen 4 /  Fasanvägen 1,6800000,"Barkarby, Järfälla kommun",5.0
11.3,Bultvägen 38,10500000,"Hökmossen/Telefonplan, Stockholms kommun",5.0
12.3,Mälsåkersvägen 10,12975000,"Älvsjö - Örby slott, Stockholms kommun",8.0
13.3,Sandviksvägen 97,5300000,"Hässelby Södra Villastad, Stockholms kommun",4.0
14.3,Småstuguvägen 2,6100000,"Hässelby Södra Villastad, Stockholms kommun",7.0
15.3,Urbergsvägen 5,6045000,"Centrala Stuvsta, Huddinge kommun",4.0
16.3,Lievägen 25,10170000,"Älvsjö - Långbro, Stockholms kommun",4.0
17.3,Fiskarfjärdsstranden 11,7600000,"Johannesdal, Stockholms kommun",6.0
18.3,Amaryllisvägen 9A,7450000,"Lindalen, Tyresö kommun",10.0
19.3,Segersminnevägen 21A,9000000,"Huddinge - Stuvsta, Huddinge kommun",7.0
20.3,Örhängevägen 22,8000000,"Hägersten, Stockholms kommun",6.0
21.3,Rågångsvägen 18A,10300000,"Spånga Bromsten, Stockholms kommun",12.0
22.3,Tolvmansvägen 10,10450000,"Stuvsta, Huddinge kommun",5.0
23.3,Krokvägen 64,17350000,"Gamla Enskede, Stockholms kommun",6.0
24.3,Ferievägen 65,25000000,"Bromma, Stockholms kommun",11.0
25.3,Sjöhällsstigen 15,9975000,"Hässelby Södra Villastad, Stockholms kommun",8.0
26.3,Lammholmsbacken 115,4800000,"Skärholmen, Stockholms kommun",5.0
27.3,Ramsundsvägen 6,10000000,"Bromma - Norra Ängby, Stockholms kommun",7.0
28.3,Nåsvägen 32,21700000,"Bromma - Nockeby, Stockholms kommun",7.0
29.3,Stjärnvägen 9B,8500000,"Hanviken, Tyresö kommun",7.0
30.3,Blåsippsdalen 18,9850000,"Sjöängen/Trångsund, Huddinge kommun",7.0
31.3,Lillskogsvägen 3,7100000,"Stuvsta, Huddinge kommun",6.0
32.3,Konvaljebacken 4B,8000000,"Trångsund, Huddinge kommun",5.0
33.3,Strids väg 4,8765000,"Högmora, Huddinge kommun",6.0
34.3,Vretvägen 13,5900000,"Trollbäcken, Tyresö kommun",8.0
35.3,Fasanvägen 11B,10900000,"Segeltorp, Huddinge kommun",6.0
36.3,Viktoriavägen 8A,15200000,"Älvsjö/Långbro, Stockholms kommun",8.0
37.3,Parkvägen 28,7000000,"Fornudden-Persudde, Tyresö kommun",6.0
38.3,Sandviksvägen 14,5775000,"Hässelby Södra Villastad, Stockholms kommun",4.0
39.3,Ugglemossvägen 32,15000000,"Mälarhöjden, Stockholms kommun",5.0
40.3,Mickelsbersbergsvägen 256,10600000,"Herrängen - Segeltorp, Huddinge kommun",6.0
41.3,Sidensvansvägen 5,8900000,"Älvsjö/Herrängen, Stockholms kommun",5.0
42.3,Malmvägen 12B,8670000,"Lindalen, Tyresö kommun",5.0
43.3,Tjädervägen 32,21100000,"Bromma - Ålsten, Stockholms kommun",7.0
44.3,Ollonborrestigen 3,11825000,"Älvsjö/Långsjö, Stockholms kommun",8.0
45.3,Älta Strandväg 56,11025000,"Kolarängen - Älta Strandväg, Nacka kommun",6.0
46.3,Odonbacken 15,9025000,"Sjöängen/Trångsund, Huddinge kommun",7.0
47.3,Björnmossvägen 8,11550000,"Centrala Älta, Nacka kommun",7.0
48.3,Orrspelsvägen 2B,24000000,"Stocksund, Danderyds kommun",8.0
49.3,Herserudsvägen 75,20000000,"Herserud, Lidingö kommun",8.0
0.4,Islandsvägen 30,8400000,"Norra Ängby, Stockholms kommun",6.0
1.4,Limonitvägen 27,8800000,"Beckomberga, Stockholms kommun",5.0
2.4,Murgrönsvägen 29,7150000,"Herrängen, Stockholms kommun",4.0
3.4,Österskogsstigen 1,10800000,"Stuvsta, Huddinge kommun",8.0
4.4,Nybyggarvägen 8,9500000,"Stensängen, Huddinge kommun",7.0
5.4,Skogsvägen 37,16150000,"Gamla Enskede, Stockholms kommun",6.0
6.4,Pirogvägen 13,7880000,"Sköndal, Stockholms kommun",6.0
7.4,Nysätravägen 40B,15750000,"Nysätra, Nacka kommun",5.0
8.4,Lupinvägen 1,6500000,"Hässelby Södra Villastad, Stockholms kommun",
9.4,Munksundsgatan 2,14750000,"Stureby, Stockholms kommun",7.0
10.4,Flystaslingan 22,6550000,"Spånga Flysta, Stockholms kommun",5.0
11.4,Stackvägen 32b,10000000,"Töjnan, Sollentuna kommun",8.0
12.4,Trädgårdsvägen 21,7700000,"Töjnan, Sollentuna kommun",6.0
13.4,Poppelvägen 5,9200000,"Barkarby, Järfälla kommun",5.0
14.4,Barnhemsvägen 104,6445000,"Hässelby - Backlura, Stockholms kommun",5.0
15.4,Arrendevägen 48,9275000,"Ursvik, Sundbybergs kommun",5.0
16.4,Björkvägen 5,14500000,"Helenelund, Sollentuna kommun",8.0
17.4,Duvvägen 3,8300000,"Segeltorp, Huddinge kommun",5.0
18.4,Björkallén 10A,9200000,"Trångsund, Huddinge kommun",6.0
19.4,Rymdvägen 13,3500000,"Skälby, Järfälla kommun",4.0
20.4,Vivstavarvsvägen 224,22250000,"Stureby, Stockholms kommun",7.0
21.4,Alstersvägen 25,13500000,"Bromma Nockebyhov, Stockholms kommun",8.0
22.4,Vretvägen 6A,15000000,"Bromma Kyrka, Stockholms kommun",7.0
23.4,Ältavägen 199,7150000,"Älta - Älta Gård, Nacka kommun",8.0
24.4,Ripsavägen 3A,14800000,"Örby - Älvsjö, Stockholms kommun",8.0
25.4,Gustaf Lundbergs väg 7,26000000,"Södra Ängby, Stockholms kommun",11.0
26.4,Aspvägen 11,14700000,"Skälby, Järfälla kommun",10.0
27.4,Mörkövägen 50,6950000,"Tallkrogen, Stockholms kommun",4.0
28.4,Skrattmåsvägen 17,6450000,"Fagersjö, Stockholms kommun",5.0
29.4,Penningvägen 5A,8550000,"Skälby, Järfälla kommun",5.0
30.4,Frans Hedbergsvägen 8,15450000,"Mälarhöjden, Stockholms kommun",10.0
31.4,Tistelvägen 24C,9100000,"Tureberg, Sollentuna kommun",7.0
32.4,Vinstavägen 69,7350000,"Vällingby - Nälsta, Stockholms kommun",6.0
33.4,Arbrågatan 3,11200000,"Vällingbyhöjden, Stockholms kommun",5.0
34.4,Årdalavägen 132,8000000,"Örby, Stockholms kommun",5.0
35.4,Björkhagsvägen 29,20500000,"Duvbo, Sundbybergs kommun",8.0
36.4,Inspektorsbacken 40,8350000,"Vällingby Nälsta, Stockholms kommun",5.0
37.4,Kälvestavägen 113,10025000,"Spånga Solhem, Stockholms kommun",9.0
38.4,Egilsvägen 9,16000000,"Bromma - Norra Ängby, Stockholms kommun",8.0
39.4,Lemmings väg 67,6600000,"Gubbängen - Enskede, Stockholms kommun",5.0
40.4,Ångermannagatan 69,7430000,"Vällingby - Råcksta, Stockholms kommun",5.0
41.4,Vivelvägen 135,7200000,"Älvsjö, Stockholms kommun",5.0
42.4,Trollsländevägen 5,7275000,"Älvsjö/Långbro, Stockholms kommun",5.0
43.4,Carl Larssons väg 55,13270000,"Bromma Södra Ängby, Stockholms kommun",8.0
44.4,Skogsbrynsvägen 8,11050000,"Huddinge - Stuvsta, Huddinge kommun",6.0
45.4,Skalkvägen 2,6800000,"Sköndal, Stockholms kommun",5.0
46.4,Västerled 166,10850000,"Olovslund, Stockholms kommun",6.0
47.4,Gråbergsvägen 21,7450000,"Stuvsta, Huddinge kommun",5.0
48.4,Lillängsgatan 48,11000000,"Bromma Kyrka, Stockholms kommun",8.0
49.4,Skattetorpsvägen 13,9800000,"Stora Ursvik, Sundbybergs kommun",5.0
0.5,Aspvägen 12B,8900000,"Helenelund/Fågelsången, Sollentuna kommun",6.0
1.5,Fiskebyvägen 14,11700000,"Enskede - Stureby, Stockholms kommun",5.0
2.5,Pastorsvägen 3,11200000,"Mariehäll, Stockholms kommun",7.0
3.5,Blåklocksvägen 15,4900000,"Hässelby Södra Villastad, Stockholms kommun",
4.5,Tjädervägen 14,11500000,"Segeltorp/Långsjön, Huddinge kommun",5.0
5.5,Alholmsbacken 1,5700000,"Skärholmen, Stockholms kommun",6.0
6.5,Logvägen 14,10550000,"Spånga, Stockholms kommun",7.0
7.5,Kulstötarvägen 54,8250000,"Tallkrogen, Stockholms kommun",6.0
8.5,Sandemarsvägen 15,9300000,"Tallkrogen, Stockholms kommun",5.0
9.5,Norra vägen 1,6680000,"Spånga - Bromsten, Stockholms kommun",6.0
10.5,Stafettvägen 10,8375000,"Enskede - Tallkrogen, Stockholms kommun",5.0
11.5,Rapphönsvägen 33,10650000,"Tallkrogen, Stockholms kommun",7.0
12.5,Solrosvägen 80,11200000,"Älvsjö/Herrängen, Stockholms kommun",5.0
13.5,Tröskverksvägen 7,7060000,"Älvsjö, Stockholms kommun",3.0
14.5,Virginiavägen 7,12600000,"Mälarhöjden, Stockholms kommun",7.0
15.5,Gränsvägen 53,8300000,"Lindalen, Tyresö kommun",7.0
16.5,Torvmossevägen 6,14000000,"Älta - Kolarängen, Nacka kommun",7.0
17.5,Frösövägen 21,6650000,"Snättringe, Huddinge kommun",5.0
18.5,Alströmervägen 4B,9700000,"Fågelsången, Sollentuna kommun",7.0
19.5,Lappstigen 16,9900000,"Hässelby Södra Villastad, Stockholms kommun",6.0
20.5,Persuddevägen 24,10200000,"Fornudden-Persudde, Tyresö kommun",8.0
21.5,Ripvägen 13,9150000,"Barkarby, Järfälla kommun",7.0
22.5,Tjädervägen 36B,8525000,"Segeltorp, Huddinge kommun",6.0
23.5,Bägerstavägen 34,17000000,"Enskede Gård, Stockholms kommun",7.0
24.5,Sandstensvägen 31,13900000,"Bromma - Ålsten, Stockholms kommun",6.0
25.5,Berghamnsvägen 53,11850000,"Hässelby Södra Villastad, Stockholms kommun",8.0
26.5,Lyrvägen 1A,8575000,"Lindalen, Tyresö kommun",7.0
27.5,Blåklintsvägen 20A,6970000,"Trångsund , Huddinge kommun",5.0
28.5,Ultunavägen 32,13400000,"Norra Ängby, Stockholms kommun",6.0
29.5,Edelcrantzvägen 17,16500000,"Mälarhöjden, Stockholms kommun",6.0
30.5,Skovelvägen 18,8400000,"Älvsjö - Långbro, Stockholms kommun",7.0
31.5,Järflottavägen 32,7800000,"Örby, Stockholms kommun",6.0
32.5,Bullerholmsgränd 79,6500000,"Skärholmen, Stockholms kommun",8.0
33.5,Dvärglinsgränd 21,7000000,"Hässelby Norra Villastad, Stockholms kommun",5.0
34.5,Hyltevägen 4,15000000,"Enskede - Stureby, Stockholms kommun",6.0
35.5,Prylvägen 12,10500000,"Telefonplan, Stockholms kommun",5.0
36.5,Duvvägen 6,7400000,"Segeltorp, Huddinge kommun",5.0
37.5,Hackspettsvägen 17,20000000,"Bromma Ålsten, Stockholms kommun",9.0
38.5,Sparreholmsvägen 4,8800000,"Älvsjö - Örby Slott, Stockholms kommun",6.0
39.5,Kulstötarvägen 29,8700000,"Enskede - Tallkrogen, Stockholms kommun",7.0
40.5,Sagostigen 6,21000000,"Bromma Äppelviken-Ålsten, Stockholms kommun",7.0
41.5,Lönnvägen 9,11100000,"Älta, Nacka kommun",7.0
42.5,Nibblenäsvägen 12,5250000,"Färingsö, Svartsjö, Ekerö kommun",5.0
43.5,Furuvägen 3,10500000,"Vällingby Nälsta, Stockholms kommun",10.0
44.5,Viadukten 8,9000000,"Hässelby Södra Villastad, Stockholms kommun",7.0
45.5,Österby 5,10525000,"Färingsö, Ekerö kommun",4.0
46.5,Hemsövägen 9,8700000,"Bromma Nockebyhov, Stockholms kommun",3.0
47.5,Gullvivegränd 36,5650000,"Hässelby - Norra Villastad, Stockholms kommun",4.0
48.5,Herrhagsvägen 91,7000000,"Enskede, Stockholms kommun",4.0
49.5,Vävarevägen 8B,7520000,"Segeltorp, Huddinge kommun",6.0
0.6,Selångergränd 4,6600000,"Vällingby - Råcksta, Stockholms kommun",6.0
1.6,Brunkullegränd 24,7050000,"Kälvesta, Stockholms kommun",7.0
2.6,Vikavägen 15,28300000,"Bromma - Höglandet, Stockholms kommun",8.0
3.6,Presidentvägen 21,14200000,"Enskededalen, Stockholms kommun",7.0
4.6,Täbylundsvägen 74,7200000,"Spånga Flysta, Stockholms kommun",4.0
5.6,Dybecksvägen 61,10200000,"Norra Ängby, Stockholms kommun",6.0
6.6,Ljungvägen 7B,7680000,"Helenelund, Sollentuna kommun",6.0
7.6,Träningsvägen 16,9800000,"Tallkrogen, Stockholms kommun",4.0
8.6,Sorundagatan 10,6650000,"Svedmyra, Stockholms kommun",4.0
9.6,Gårdsvägen 20A,11000000,"Segeltorp, Huddinge kommun",6.0
