address,final_price,land_area,area,commune,price_per_area,rooms,sale_date,status
Tegnebyvägen 50,8015000,470.0,85.0,"Bromma - Norra Ängby, Stockholms kommun",94294.0,6.0,2025-12-07,On sale
Strömkarlsvägen 34,14825000,265.0,157.0,"Bromma Smedslätten, Stockholms kommun",94427.0,7.0,2025-05-10,On sale
Vivelvägen 13B,8650000,642.0,104.0,"Älvsjö, Stockholms kommun",83173.0,5.0,2024-03-28,Sold
Tellusvägen 7,8500000,1075.0,163.0,"Älta - Hedvigslund, Nacka kommun",52147.0,6.0,2024-07-31,Sold
Norlindsvägen 33,10000000,662.0,124.0,"Bromma - Bromma Kyrka, Stockholms kommun",80645.0,7.0,2025-05-19,On sale
Rågångsvägen 17B,11995000,878.0,219.0,"Spånga - Bromsten, Stockholms kommun",54772.0,8.0,2025-03-06,On sale
Järpvägen 3,6500000,837.0,103.0,"Barkarby, Järfälla kommun",63107.0,,2025-06-09,On sale
Långskeppsgatan 31,8150000,423.0,122.0,"Norra Ängby, Stockholms kommun",66803.0,7.0,2025-07-25,On sale
Tallvägen 1A,11300000,1134.0,210.0,"Helenelund, Sollentuna kommun",53810.0,9.0,2023-11-16,Sold
Saturnushöjden 3,7495000,1402.0,140.0,"Skälby, Järfälla kommun",53536.0,6.0,2023-06-12,Sold
Hästhagsvägen 25B,6800000,8122.0,134.0,"Häggvik, Sollentuna kommun",50746.0,4.0,2023-04-25,On sale
Valfrid Brodds väg 42,7310000,665.0,124.0,"Hässelby - Södra Villastad, Stockholms kommun",58952.0,6.0,2024-10-14,Sold
Hagforsgatan 13,5000000,814.0,117.0,"Farsta, Stockholms kommun",42735.0,5.0,2024-02-09,On sale
Storskogsvägen 22,15700000,422.0,116.0,"Bromma - Ålsten, Stockholms kommun",135345.0,6.0,2025-07-31,Sold
Hjortstigen 16,19500000,1133.0,246.0,"Stocksund, Danderyds kommun",79268.0,10.0,2025-06-01,On sale
Herserudsvägen 36,21200000,1193.0,189.0,"Herserud, Lidingö kommun",112169.0,7.0,2024-09-10,Sold
Söråkersvägen 2,9850000,833.0,164.0,"Enskede - Stureby, Stockholms kommun",60061.0,6.0,2025-06-09,Sold
Forskningsringen 25,8800000,338.0,139.0,"Ursvik, Sundbybergs kommun",63309.0,5.0,2025-03-08,Sold
Åbroddsvägen 23,6825000,987.0,143.0,"Hässelby Södra Villastad, Stockholms kommun",47727.0,6.0,2023-09-27,On sale
Ösmogatan 6,9840000,604.0,87.0,"Svedmyra, Stockholms kommun",113103.0,4.0,2024-10-21,Sold
Flensvägen 40,8600000,765.0,65.0,"Älvsjö - Örby, Stockholms kommun",132308.0,4.0,2024-11-11,Sold
Gränsvägen 25B,8500000,1423.0,170.0,"Lindalen, Tyresö kommun",50000.0,5.0,2024-01-04,Sold
Fallskärmsvägen 1,9250000,1055.0,140.0,"Barkarby, Järfälla kommun",66071.0,7.0,2024-05-11,On sale
Långbrodalsvägen 35,10300000,768.0,153.0,"Långbro, Stockholms kommun",67320.0,6.0,2024-11-09,Sold
Törnes väg 18,8050000,1087.0,174.0,"Hanviken, Tyresö kommun",46264.0,6.0,2024-09-03,Sold
Sandstigen 2B,6950000,786.0,118.0,"Hanviken, Tyresö kommun",58898.0,7.0,2025-05-08,On sale
Markviksvägen 15,6950000,635.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",59402.0,5.0,2025-06-19,Sold
Mälarhöjdsvägen 38,11300000,882.0,195.0,"Mälarhöjden - Hägersten, Stockholms kommun",57949.0,5.0,2023-01-03,Sold
Häradsvägen 202,6200000,1224.0,90.0,"Segeltorp, Huddinge kommun",68889.0,6.0,2023-03-23,Sold
Hemmansvägen 18,12700000,542.0,110.0,"Gamla Enskede, Stockholms kommun",115455.0,5.0,2024-07-04,Sold
Alholmsbacken 8,8100000,690.0,157.0,"Skärholmshöjden., Stockholms kommun",51592.0,6.0,2025-05-14,Sold
Herrgårdsvägen 13,16400000,529.0,136.0,"Enskede Gård, Stockholms kommun",120588.0,9.0,2025-06-03,Sold
Skogsslingan 14,4910000,688.0,140.0,"Johannesdal - Vårberg, Stockholms kommun",35071.0,6.0,2023-04-13,On sale
Brunflogatan 50,7195000,588.0,114.0,"Vällingby - Råcksta Trädgårdsstad, Stockholms kommun",63114.0,7.0,2023-01-17,Sold
Knektvägen 8,6070000,1530.0,98.0,"Trollbäcken/Hanviken, Tyresö kommun",61939.0,5.0,2023-03-29,On sale
Vinstavägen 14,8500000,926.0,111.0,"Spånga Solhem, Stockholms kommun",76577.0,6.0,2025-06-16,On sale
Pliggvägen 2,6500000,599.0,124.0,"Solberga, Stockholms kommun",52419.0,8.0,2023-01-28,Sold
Ivar Hallströms väg 11,16550000,610.0,164.0,"Mälarhöjden, Stockholms kommun",100915.0,7.0,2023-09-04,On sale
Bokvägen 1,7700000,689.0,154.0,"Helenelund, Sollentuna kommun",50000.0,5.0,2025-11-08,On sale
Enebacken 3,13750000,710.0,148.0,"Stocksund, Danderyds kommun",92905.0,6.0,2023-03-15,Sold
Nyodlingsvägen 11,8600000,1243.0,80.0,"Edsviken, Sollentuna kommun",107500.0,4.0,2025-10-25,On sale
Vivelvägen 124,6995000,579.0,68.0,"Älvsjö, Stockholms kommun",102868.0,5.0,2024-10-11,Sold
Enebyvägen 5,8250000,395.0,63.0,"Eneby, Stockholms kommun",130952.0,5.0,2023-07-14,On sale
Flottiljvägen 5,7900000,802.0,111.0,"Barkarby, Järfälla kommun",71171.0,7.0,2024-09-02,Sold
Blåklocksvägen 11,9900000,849.0,169.0,"Hässelby Södra Villastad, Stockholms kommun",58580.0,7.0,2023-03-28,On sale
Furuvägen 6,7495000,980.0,157.0,"Nälsta, Stockholms kommun",47739.0,5.0,2025-09-10,On sale
Ängsvägen 53,6165000,802.0,118.0,"Snättringe, Huddinge kommun",52246.0,5.0,2024-03-13,Sold
Kummelvägen 42,14000000,546.0,102.0,"Bromma - Ålsten, Stockholms kommun",137255.0,6.0,2024-03-29,On sale
Småstuguvägen 21,5900000,420.0,135.0,"Hässelby södra villastad, Stockholms kommun",43704.0,5.0,2025-06-16,On sale
Drottningholmsvägen 556,9200000,475.0,95.0,"Bromma Nockebyhov, Stockholms kommun",96842.0,5.0,2024-03-09,Sold
Tegnebyvägen 50,8015000,470.0,85.0,"Bromma - Norra Ängby, Stockholms kommun",94294.0,6.0,2024-03-26,On sale
Strömkarlsvägen 34,14825000,265.0,157.0,"Bromma Smedslätten, Stockholms kommun",94427.0,7.0,2025-04-16,Sold
Vivelvägen 13B,8650000,642.0,104.0,"Älvsjö, Stockholms kommun",83173.0,5.0,2023-08-25,On sale
Tellusvägen 7,8500000,1075.0,163.0,"Älta - Hedvigslund, Nacka kommun",52147.0,6.0,2025-11-09,On sale
Norlindsvägen 33,10000000,662.0,124.0,"Bromma - Bromma Kyrka, Stockholms kommun",80645.0,7.0,2024-10-06,Sold
Rågångsvägen 17B,11995000,878.0,219.0,"Spånga - Bromsten, Stockholms kommun",54772.0,8.0,2025-06-25,Sold
Järpvägen 3,6500000,837.0,103.0,"Barkarby, Järfälla kommun",63107.0,,2024-08-03,On sale
Långskeppsgatan 31,8150000,423.0,122.0,"Norra Ängby, Stockholms kommun",66803.0,7.0,2023-10-12,Sold
Tallvägen 1A,11300000,1134.0,210.0,"Helenelund, Sollentuna kommun",53810.0,9.0,2024-05-09,Sold
Saturnushöjden 3,7495000,1402.0,140.0,"Skälby, Järfälla kommun",53536.0,6.0,2024-03-06,Sold
Hästhagsvägen 25B,6800000,8122.0,134.0,"Häggvik, Sollentuna kommun",50746.0,4.0,2025-02-16,On sale
Valfrid Brodds väg 42,7310000,665.0,124.0,"Hässelby - Södra Villastad, Stockholms kommun",58952.0,6.0,2024-08-01,Sold
Hagforsgatan 13,5000000,814.0,117.0,"Farsta, Stockholms kommun",42735.0,5.0,2023-08-06,Sold
Storskogsvägen 22,15700000,422.0,116.0,"Bromma - Ålsten, Stockholms kommun",135345.0,6.0,2025-08-13,Sold
Hjortstigen 16,19500000,1133.0,246.0,"Stocksund, Danderyds kommun",79268.0,10.0,2023-11-21,Sold
Herserudsvägen 36,21200000,1193.0,189.0,"Herserud, Lidingö kommun",112169.0,7.0,2023-11-24,Sold
Söråkersvägen 2,9850000,833.0,164.0,"Enskede - Stureby, Stockholms kommun",60061.0,6.0,2024-10-08,On sale
Forskningsringen 25,8800000,338.0,139.0,"Ursvik, Sundbybergs kommun",63309.0,5.0,2023-01-19,Sold
Åbroddsvägen 23,6825000,987.0,143.0,"Hässelby Södra Villastad, Stockholms kommun",47727.0,6.0,2024-10-18,On sale
Ösmogatan 6,9840000,604.0,87.0,"Svedmyra, Stockholms kommun",113103.0,4.0,2024-02-01,On sale
Flensvägen 40,8600000,765.0,65.0,"Älvsjö - Örby, Stockholms kommun",132308.0,4.0,2023-07-26,Sold
Gränsvägen 25B,8500000,1423.0,170.0,"Lindalen, Tyresö kommun",50000.0,5.0,2023-04-06,Sold
Fallskärmsvägen 1,9250000,1055.0,140.0,"Barkarby, Järfälla kommun",66071.0,7.0,2023-08-13,On sale
Långbrodalsvägen 35,10300000,768.0,153.0,"Långbro, Stockholms kommun",67320.0,6.0,2024-10-08,Sold
Törnes väg 18,8050000,1087.0,174.0,"Hanviken, Tyresö kommun",46264.0,6.0,2023-05-19,On sale
Sandstigen 2B,6950000,786.0,118.0,"Hanviken, Tyresö kommun",58898.0,7.0,2023-03-17,On sale
Vallmovägen 6,8400000,1720.0,141.0,"Trångsund, Huddinge kommun",59574.0,6.0,2024-04-06,Sold
Boxergränd 8,6250000,158.0,137.0,"Sköndal - Norra Sköndal, Stockholms kommun",45620.0,5.0,2025-10-25,Sold
Ugglemossvägen 55,10900000,813.0,129.0,"Mälarhöjden, Stockholms kommun",84496.0,6.0,2023-08-01,Sold
Trollbäcksvägen 39A,7225000,1161.0,131.0,"Hanviken/Trollbäcken, Tyresö kommun",55153.0,5.0,2024-12-26,On sale
Torparmors väg 11,7275000,683.0,146.0,"Vinsta, Stockholms kommun",49829.0,6.0,2024-06-18,Sold
Tallstubbsbacken 20,7975000,565.0,93.0,"Spånga Solhem, Stockholms kommun",85753.0,5.0,2023-12-02,Sold
Småkaksgränd 12,10100000,665.0,136.0,"Sköndal - Kakstan, Stockholms kommun",74265.0,6.0,2025-09-26,Sold
Virvelvindsvägen 24,22500000,693.0,209.0,"Bromma - Ålsten, Stockholms kommun",107656.0,8.0,2024-06-02,On sale
Sofiebergsvägen 40,8100000,1130.0,144.0,"Stuvsta, Huddinge kommun",56250.0,6.0,2023-11-23,On sale
Doktor Abrahams väg 67,7900000,436.0,79.0,"Eneby, Stockholms kommun",100000.0,5.0,2024-08-25,Sold
Nidarosslingan 42,6395000,298.0,119.0,"Skälby, Järfälla kommun",53739.0,5.0,2023-05-14,On sale
Havsörnsvägen 31,7500000,662.0,120.0,"Fagersjö, Stockholms kommun",62500.0,4.0,2025-07-20,On sale
Markvägen 45,8550000,814.0,183.0,"Vällingby Nälsta, Stockholms kommun",46721.0,6.0,2023-01-28,On sale
Bovägen 4A,9030000,1265.0,128.0,"Lindalen, Tyresö kommun",70547.0,7.0,2025-03-24,Sold
Fållnäsgatan 66,10450000,499.0,118.0,"Tallkrogen, Stockholms kommun",88559.0,6.0,2023-09-09,On sale
Hälleskåran 36,16900000,1175.0,187.0,"Mälarhöjden, Stockholms kommun",90374.0,7.0,2024-05-14,On sale
Maj Brings Väg 16,9500000,307.0,136.0,"Sköndal, Stockholms kommun",69853.0,6.0,2024-01-24,Sold
Stackvägen 10,11300000,1266.0,166.0,"Töjnan, Sollentuna kommun",68072.0,8.0,2025-12-23,On sale
Mickelsbergsvägen 117,8250000,798.0,105.0,"Älvsjö - Herrängen, Stockholms kommun",78571.0,6.0,2025-10-24,Sold
Trevingevägen 39,8200000,,89.0,"Ulvsunda, Stockholms kommun",92135.0,4.0,2025-05-19,Sold
Ryttmästarvägen 9,4900000,93.0,85.0,"Rissne, Sundbybergs kommun",57647.0,3.0,2025-01-14,On sale
Storhagsvägen 45,12500000,700.0,142.0,"Älvsjö - Herrängen, Stockholms kommun",88028.0,8.0,2025-11-26,On sale
Storsvängen 46,17650000,875.0,193.0,"Mälarhöjden, Stockholms kommun",91451.0,8.0,2025-08-04,Sold
Moravägen 15,22000000,820.0,266.0,"Bromma Nockeby, Stockholms kommun",82707.0,10.0,2023-01-14,Sold
Pettersbergsvägen 84,15000000,501.0,204.0,"Mälarhöjden, Stockholms kommun",73529.0,6.0,2024-08-25,Sold
Oviksgatan 69,7250000,453.0,67.0,"Vällingby Parkstad / Råcksta, Stockholms kommun",108209.0,6.0,2024-06-01,Sold
Pilbågsvägen 4,8000000,726.0,142.0,"Flysta, Stockholms kommun",56338.0,9.0,2023-07-14,Sold
Stamdikesvägen 18,8800000,640.0,174.0,"Vällingby Nälsta, Stockholms kommun",50575.0,6.0,2025-10-05,Sold
Skogsslingan 22,5700000,752.0,166.0,"Johannesdal, Stockholms kommun",34337.0,5.0,2023-01-25,Sold
Örnsätrabacken 194 - Accepterat pris!,6800000,471.0,166.0,"Sätra, Stockholms kommun",40964.0,8.0,2023-04-30,Sold
Skovelvägen 21,11750000,716.0,140.0,"Älvsjö, Stockholms kommun",83929.0,7.0,2025-10-20,Sold
Sörgårdsvägen 76,8835000,765.0,156.0,"Spånga - Solhem, Stockholms kommun",56635.0,7.0,2024-09-22,On sale
Dalkarlsvägen 47,9000000,1288.0,142.0,"Stuvsta Segersminne, Huddinge kommun",63380.0,6.0,2025-05-14,Sold
Solrosvägen 81,9300000,1002.0,114.0,"Älvsjö/Herrängen, Stockholms kommun",81579.0,5.0,2023-02-03,Sold
Gränsvägen 34,12000000,1049.0,172.0,"Lindalen, Tyresö kommun",69767.0,,2025-10-24,Sold
Gråhundsvägen 212,6650000,286.0,195.0,"Sköndal, Stockholms kommun",34103.0,6.0,2023-10-06,Sold
Bivägen 9,7725000,1132.0,69.0,"Älvsjö/Långbro, Stockholms kommun",111957.0,4.0,2023-03-02,Sold
Lammholmsbacken 66,4700000,458.0,112.0,"Skärholmen, Stockholms kommun",41964.0,5.0,2025-08-17,Sold
Västermovägen 68,9400000,557.0,188.0,"Örby, Stockholms kommun",50000.0,8.0,2024-12-13,Sold
Vinkelvägen 5,12900000,353.0,104.0,"Gamla Enskede, Stockholms kommun",124038.0,4.0,2025-03-20,Sold
Björkallén 1,6850000,7375.0,148.0,"Fållan, Huddinge kommun",46284.0,7.0,2023-11-03,Sold
Ringvägen 33,6200000,494.0,112.0,"Hanviken, Tyresö kommun",55357.0,6.0,2025-08-08,On sale
Fållnäsgatan 93,10000000,642.0,72.0,"Svedmyra/Enskede, Stockholms kommun",138889.0,6.0,2025-10-19,On sale
Höckertsvägen 9,16750000,637.0,138.0,"Södra Ängby, Stockholms kommun",121377.0,7.0,2023-09-19,Sold
Ambravägen 18,8200000,151.0,115.0,"Beckomberga, Stockholms kommun",71304.0,5.0,2023-08-11,Sold
Granåsbacken 5,9500000,839.0,151.0,"Spånga Flysta, Stockholms kommun",62914.0,10.0,2025-02-05,On sale
Svalvägen 9,9500000,1252.0,131.0,"Segeltorp, Huddinge kommun",72519.0,6.0,2025-09-05,Sold
Amatörvägen 46,7595000,452.0,74.0,"Tallkrogen, Stockholms kommun",102635.0,5.0,2023-05-04,Sold
Frösövägen 25,9750000,1006.0,150.0,"Snättringe/Långsjön, Huddinge kommun",65000.0,5.0,2024-12-23,On sale
Lupinvägen 6,7800000,670.0,120.0,"Hässelby Södra Villastad, Stockholms kommun",65000.0,6.0,2024-01-26,Sold
Kårebacken 6,8450000,669.0,141.0,"Spånga - Solhöjden, Stockholms kommun",59929.0,5.0,2024-12-06,Sold
Kaprifolvägen 22,6075000,716.0,139.0,"Hässelby Södra Villastad, Stockholms kommun",43705.0,5.0,2023-10-10,Sold
Solhemsbackarna 198B,8100000,681.0,108.0,"Spånga - Solhem, Stockholms kommun",75000.0,8.0,2023-10-20,Sold
Gullvivegränd 26,5800000,611.0,129.0,"Hässelby - Norra Villastad, Stockholms kommun",44961.0,5.0,2023-11-06,Sold
Tryffelgränd 7,9940000,574.0,84.0,"Gamla Enskede, Stockholms kommun",118333.0,5.0,2025-04-06,On sale
Skattegränd 4B,6650000,663.0,119.0,"Spånga Bromsten, Stockholms kommun",55882.0,5.0,2023-11-11,Sold
Skallgångsbacken 27,9600000,1152.0,144.0,"Solhem, Stockholms kommun",66667.0,6.0,2025-05-23,Sold
Kaprifolvägen 35,7900000,652.0,196.0,"Hässelby Södra Villastad, Stockholms kommun",40306.0,7.0,2024-07-06,On sale
Berghamnsbrinken 1,9750000,877.0,149.0,"Hässelby Södra Villastad, Stockholms kommun",65436.0,8.0,2025-01-29,Sold
Hjortsbergsvägen 56,11750000,887.0,108.0,"Hägersten, Stockholms kommun",108796.0,4.0,2025-08-02,Sold
Skälbyvägen 4 /  Fasanvägen 1,6800000,1237.0,90.0,"Barkarby, Järfälla kommun",75556.0,5.0,2025-02-01,Sold
Bultvägen 38,10500000,555.0,66.0,"Hökmossen/Telefonplan, Stockholms kommun",159091.0,5.0,2025-09-21,Sold
Mälsåkersvägen 10,12975000,1295.0,276.0,"Älvsjö - Örby slott, Stockholms kommun",47011.0,8.0,2024-07-13,Sold
Sandviksvägen 97,5300000,601.0,103.0,"Hässelby Södra Villastad, Stockholms kommun",51456.0,4.0,2024-07-19,Sold
Småstuguvägen 2,6100000,364.0,135.0,"Hässelby Södra Villastad, Stockholms kommun",45185.0,7.0,2024-09-16,On sale
Urbergsvägen 5,6045000,1059.0,83.0,"Centrala Stuvsta, Huddinge kommun",72831.0,4.0,2024-09-04,On sale
Lievägen 25,10170000,749.0,101.0,"Älvsjö - Långbro, Stockholms kommun",100693.0,4.0,2023-09-23,On sale
Fiskarfjärdsstranden 11,7600000,1034.0,145.0,"Johannesdal, Stockholms kommun",52414.0,6.0,2023-10-20,Sold
Amaryllisvägen 9A,7450000,1797.0,293.0,"Lindalen, Tyresö kommun",25427.0,10.0,2023-08-22,Sold
Segersminnevägen 21A,9000000,707.0,205.0,"Huddinge - Stuvsta, Huddinge kommun",43902.0,7.0,2025-01-24,Sold
Örhängevägen 22,8000000,577.0,69.0,"Hägersten, Stockholms kommun",115942.0,6.0,2023-11-28,Sold
Rågångsvägen 18A,10300000,601.0,200.0,"Spånga Bromsten, Stockholms kommun",51500.0,12.0,2025-07-20,On sale
Tolvmansvägen 10,10450000,1330.0,170.0,"Stuvsta, Huddinge kommun",61471.0,5.0,2024-04-05,Sold
Krokvägen 64,17350000,512.0,143.0,"Gamla Enskede, Stockholms kommun",121329.0,6.0,2023-03-21,Sold
Ferievägen 65,25000000,774.0,375.0,"Bromma, Stockholms kommun",66667.0,11.0,2023-01-29,Sold
Sjöhällsstigen 15,9975000,915.0,195.0,"Hässelby Södra Villastad, Stockholms kommun",51154.0,8.0,2024-11-15,Sold
Lammholmsbacken 115,4800000,420.0,113.0,"Skärholmen, Stockholms kommun",42478.0,5.0,2024-10-19,Sold
Ramsundsvägen 6,10000000,482.0,100.0,"Bromma - Norra Ängby, Stockholms kommun",100000.0,7.0,2025-06-17,Sold
Nåsvägen 32,21700000,564.0,173.0,"Bromma - Nockeby, Stockholms kommun",125434.0,7.0,2023-10-24,Sold
Stjärnvägen 9B,8500000,904.0,153.0,"Hanviken, Tyresö kommun",55556.0,7.0,2023-06-03,On sale
Blåsippsdalen 18,9850000,10057.0,194.0,"Sjöängen/Trångsund, Huddinge kommun",50773.0,7.0,2023-08-17,On sale
Lillskogsvägen 3,7100000,602.0,112.0,"Stuvsta, Huddinge kommun",63393.0,6.0,2024-01-26,Sold
Konvaljebacken 4B,8000000,1267.0,180.0,"Trångsund, Huddinge kommun",44444.0,5.0,2025-07-21,On sale
Strids väg 4,8765000,1569.0,153.0,"Högmora, Huddinge kommun",57288.0,6.0,2024-07-13,On sale
Vretvägen 13,5900000,1714.0,97.0,"Trollbäcken, Tyresö kommun",60825.0,8.0,2024-01-19,Sold
Fasanvägen 11B,10900000,1015.0,171.0,"Segeltorp, Huddinge kommun",63743.0,6.0,2025-08-18,Sold
Viktoriavägen 8A,15200000,823.0,185.0,"Älvsjö/Långbro, Stockholms kommun",82162.0,8.0,2025-08-21,Sold
Parkvägen 28,7000000,579.0,145.0,"Fornudden-Persudde, Tyresö kommun",48276.0,6.0,2025-05-15,On sale
Sandviksvägen 14,5775000,662.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",49359.0,4.0,2024-07-24,Sold
Ugglemossvägen 32,15000000,978.0,115.0,"Mälarhöjden, Stockholms kommun",130435.0,5.0,2024-11-26,Sold
Mickelsbersbergsvägen 256,10600000,830.0,125.0,"Herrängen - Segeltorp, Huddinge kommun",84800.0,6.0,2023-04-24,Sold
Sidensvansvägen 5,8900000,585.0,70.0,"Älvsjö/Herrängen, Stockholms kommun",127143.0,5.0,2023-11-19,On sale
Malmvägen 12B,8670000,1299.0,131.0,"Lindalen, Tyresö kommun",66183.0,5.0,2025-12-22,Sold
Tjädervägen 32,21100000,706.0,158.0,"Bromma - Ålsten, Stockholms kommun",133544.0,7.0,2023-06-07,Sold
Ollonborrestigen 3,11825000,970.0,164.0,"Älvsjö/Långsjö, Stockholms kommun",72104.0,8.0,2025-04-30,Sold
Älta Strandväg 56,11025000,944.0,198.0,"Kolarängen - Älta Strandväg, Nacka kommun",55682.0,6.0,2024-03-29,Sold
Odonbacken 15,9025000,12444.0,158.0,"Sjöängen/Trångsund, Huddinge kommun",57120.0,7.0,2023-12-11,Sold
Björnmossvägen 8,11550000,761.0,157.0,"Centrala Älta, Nacka kommun",73567.0,7.0,2025-08-02,Sold
Orrspelsvägen 2B,24000000,730.0,200.0,"Stocksund, Danderyds kommun",120000.0,8.0,2024-04-27,Sold
Herserudsvägen 75,20000000,1502.0,265.0,"Herserud, Lidingö kommun",75472.0,8.0,2025-03-18,Sold
Islandsvägen 30,8400000,426.0,78.0,"Norra Ängby, Stockholms kommun",107692.0,6.0,2023-03-05,Sold
Limonitvägen 27,8800000,208.0,122.0,"Beckomberga, Stockholms kommun",72131.0,5.0,2024-01-18,Sold
Murgrönsvägen 29,7150000,594.0,110.0,"Herrängen, Stockholms kommun",65000.0,4.0,2023-11-23,On sale
Österskogsstigen 1,10800000,1117.0,133.0,"Stuvsta, Huddinge kommun",81203.0,8.0,2023-12-01,On sale
Nybyggarvägen 8,9500000,1198.0,115.0,"Stensängen, Huddinge kommun",82609.0,7.0,2023-01-18,Sold
Skogsvägen 37,16150000,749.0,134.0,"Gamla Enskede, Stockholms kommun",120522.0,6.0,2023-01-23,On sale
Pirogvägen 13,7880000,552.0,84.0,"Sköndal, Stockholms kommun",93810.0,6.0,2024-11-28,On sale
Nysätravägen 40B,15750000,881.0,86.0,"Nysätra, Nacka kommun",183140.0,5.0,2024-12-27,On sale
Lupinvägen 1,6500000,643.0,182.0,"Hässelby Södra Villastad, Stockholms kommun",35714.0,,2025-11-09,Sold
Munksundsgatan 2,14750000,928.0,127.0,"Stureby, Stockholms kommun",116142.0,7.0,2023-02-12,Sold
Flystaslingan 22,6550000,903.0,106.0,"Spånga Flysta, Stockholms kommun",61792.0,5.0,2025-01-16,Sold
Stackvägen 32b,10000000,976.0,124.0,"Töjnan, Sollentuna kommun",80645.0,8.0,2024-11-01,Sold
Trädgårdsvägen 21,7700000,1302.0,106.0,"Töjnan, Sollentuna kommun",72642.0,6.0,2025-09-14,Sold
Poppelvägen 5,9200000,838.0,183.0,"Barkarby, Järfälla kommun",50273.0,5.0,2024-01-15,On sale
Barnhemsvägen 104,6445000,632.0,168.0,"Hässelby - Backlura, Stockholms kommun",38363.0,5.0,2025-07-07,Sold
Arrendevägen 48,9275000,344.0,139.0,"Ursvik, Sundbybergs kommun",66727.0,5.0,2024-09-27,Sold
Björkvägen 5,14500000,1596.0,160.0,"Helenelund, Sollentuna kommun",90625.0,8.0,2024-01-07,Sold
Duvvägen 3,8300000,972.0,170.0,"Segeltorp, Huddinge kommun",48824.0,5.0,2023-08-01,Sold
Björkallén 10A,9200000,806.0,150.0,"Trångsund, Huddinge kommun",61333.0,6.0,2025-08-01,On sale
Rymdvägen 13,3500000,200.0,92.0,"Skälby, Järfälla kommun",38043.0,4.0,2024-08-18,Sold
Vivstavarvsvägen 224,22250000,1003.0,304.0,"Stureby, Stockholms kommun",73191.0,7.0,2024-07-14,On sale
Alstersvägen 25,13500000,497.0,82.0,"Bromma Nockebyhov, Stockholms kommun",164634.0,8.0,2024-11-26,Sold
Vretvägen 6A,15000000,736.0,159.0,"Bromma Kyrka, Stockholms kommun",94340.0,7.0,2024-06-23,Sold
