asked_price,final_price,pourcentage_difference,land_area,area,commune,price_per_area,rooms,supplemental_area
4490000.0,4800000,7.0,420.0,113.0,"Skärholmen, Stockholms kommun",42478.0,5.0,19.0
9950000.0,10000000,1.0,482.0,100.0,"Bromma - Norra Ängby, Stockholms kommun",100000.0,7.0,107.0
21500000.0,21700000,1.0,564.0,173.0,"Bromma - Nockeby, Stockholms kommun",125434.0,7.0,81.0
7495000.0,8500000,13.0,904.0,153.0,"Hanviken, Tyresö kommun",55556.0,7.0,0.0
8495000.0,9850000,16.0,10057.0,194.0,"Sjöängen/Trångsund, Huddinge kommun",50773.0,7.0,0.0
6950000.0,7100000,2.0,602.0,112.0,"Stuvsta, Huddinge kommun",63393.0,6.0,112.0
7875000.0,8000000,2.0,1267.0,180.0,"Trångsund, Huddinge kommun",44444.0,5.0,5.0
6995000.0,8765000,25.0,1569.0,153.0,"Högmora, Huddinge kommun",57288.0,6.0,0.0
5795000.0,5900000,2.0,1714.0,97.0,"Trollbäcken, Tyresö kommun",60825.0,8.0,98.0
9975000.0,10900000,9.0,1015.0,171.0,"Segeltorp, Huddinge kommun",63743.0,6.0,4.0
12250000.0,15200000,24.0,823.0,185.0,"Älvsjö/Långbro, Stockholms kommun",82162.0,8.0,60.0
6795000.0,7000000,3.0,579.0,145.0,"Fornudden-Persudde, Tyresö kommun",48276.0,6.0,0.0
5775000.0,5775000,0.0,662.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",49359.0,4.0,0.0
15000000.0,15000000,0.0,978.0,115.0,"Mälarhöjden, Stockholms kommun",130435.0,5.0,50.0
10600000.0,10600000,0.0,830.0,125.0,"Herrängen - Segeltorp, Huddinge kommun",84800.0,6.0,125.0
7850000.0,8900000,13.0,585.0,70.0,"Älvsjö/Herrängen, Stockholms kommun",127143.0,5.0,70.0
7695000.0,8670000,13.0,1299.0,131.0,"Lindalen, Tyresö kommun",66183.0,5.0,38.0
21900000.0,21100000,4.0,706.0,158.0,"Bromma - Ålsten, Stockholms kommun",133544.0,7.0,79.0
10750000.0,11825000,10.0,970.0,164.0,"Älvsjö/Långsjö, Stockholms kommun",72104.0,8.0,60.0
10995000.0,11025000,0.0,944.0,198.0,"Kolarängen - Älta Strandväg, Nacka kommun",55682.0,6.0,12.0
7875000.0,9025000,15.0,12444.0,158.0,"Sjöängen/Trångsund, Huddinge kommun",57120.0,7.0,24.0
9495000.0,11550000,22.0,761.0,157.0,"Centrala Älta, Nacka kommun",73567.0,7.0,55.0
22950000.0,24000000,5.0,730.0,200.0,"Stocksund, Danderyds kommun",120000.0,8.0,35.0
21750000.0,20000000,8.0,1502.0,265.0,"Herserud, Lidingö kommun",75472.0,8.0,85.0
8495000.0,8400000,1.0,426.0,78.0,"Norra Ängby, Stockholms kommun",107692.0,6.0,78.0
8800000.0,8800000,0.0,208.0,122.0,"Beckomberga, Stockholms kommun",72131.0,5.0,0.0
6195000.0,7150000,15.0,594.0,110.0,"Herrängen, Stockholms kommun",65000.0,4.0,25.0
8795000.0,10800000,23.0,1117.0,133.0,"Stuvsta, Huddinge kommun",81203.0,8.0,60.0
8250000.0,9500000,15.0,1198.0,115.0,"Stensängen, Huddinge kommun",82609.0,7.0,50.0
15250000.0,16150000,6.0,749.0,134.0,"Gamla Enskede, Stockholms kommun",120522.0,6.0,56.0
7195000.0,7880000,10.0,552.0,84.0,"Sköndal, Stockholms kommun",93810.0,6.0,84.0
15750000.0,15750000,0.0,881.0,86.0,"Nysätra, Nacka kommun",183140.0,5.0,84.0
6450000.0,6500000,1.0,643.0,182.0,"Hässelby Södra Villastad, Stockholms kommun",35714.0,,24.0
15495000.0,14750000,5.0,928.0,127.0,"Stureby, Stockholms kommun",116142.0,7.0,82.0
6550000.0,6550000,0.0,903.0,106.0,"Spånga Flysta, Stockholms kommun",61792.0,5.0,100.0
9950000.0,10000000,1.0,976.0,124.0,"Töjnan, Sollentuna kommun",80645.0,8.0,124.0
7900000.0,7700000,3.0,1302.0,106.0,"Töjnan, Sollentuna kommun",72642.0,6.0,78.0
8650000.0,9200000,6.0,838.0,183.0,"Barkarby, Järfälla kommun",50273.0,5.0,7.0
5495000.0,6445000,17.0,632.0,168.0,"Hässelby - Backlura, Stockholms kommun",38363.0,5.0,0.0
8495000.0,9275000,9.0,344.0,139.0,"Ursvik, Sundbybergs kommun",66727.0,5.0,0.0
11950000.0,14500000,21.0,1596.0,160.0,"Helenelund, Sollentuna kommun",90625.0,8.0,77.0
7975000.0,8300000,4.0,972.0,170.0,"Segeltorp, Huddinge kommun",48824.0,5.0,19.0
8975000.0,9200000,3.0,806.0,150.0,"Trångsund, Huddinge kommun",61333.0,6.0,0.0
3695000.0,3500000,5.0,200.0,92.0,"Skälby, Järfälla kommun",38043.0,4.0,0.0
17750000.0,22250000,25.0,1003.0,304.0,"Stureby, Stockholms kommun",73191.0,7.0,106.0
13450000.0,13500000,0.0,497.0,82.0,"Bromma Nockebyhov, Stockholms kommun",164634.0,8.0,63.0
15000000.0,15000000,0.0,736.0,159.0,"Bromma Kyrka, Stockholms kommun",94340.0,7.0,94.0
6995000.0,7150000,2.0,1452.0,104.0,"Älta - Älta Gård, Nacka kommun",68750.0,8.0,100.0
10495000.0,14800000,41.0,870.0,266.0,"Örby - Älvsjö, Stockholms kommun",55639.0,8.0,43.0
20500000.0,26000000,27.0,637.0,197.0,"Södra Ängby, Stockholms kommun",131980.0,11.0,96.0
13000000.0,14700000,13.0,2276.0,713.0,"Skälby, Järfälla kommun",20617.0,10.0,0.0
7250000.0,6950000,4.0,599.0,69.0,"Tallkrogen, Stockholms kommun",100725.0,4.0,67.0
5250000.0,6450000,23.0,341.0,118.0,"Fagersjö, Stockholms kommun",54661.0,5.0,12.0
