address,final_price,land_area,area,commune,price_per_area,rooms,sale_date,status
Gränsvägen 25B,8500000,1423.0,170.0,"Lindalen, Tyresö kommun",50000.0,5.0,2024-08-25,Sold
Fallskärmsvägen 1,9250000,1055.0,140.0,"Barkarby, Järfälla kommun",66071.0,7.0,2024-09-25,Sold
Långbrodalsvägen 35,10300000,768.0,153.0,"Långbro, Stockholms kommun",67320.0,6.0,2023-01-24,Sold
Törnes väg 18,8050000,1087.0,174.0,"Hanviken, Tyresö kommun",46264.0,6.0,2024-12-08,Sold
Sandstigen 2B,6950000,786.0,118.0,"Hanviken, Tyresö kommun",58898.0,7.0,2025-02-20,Sold
Vallmovägen 6,8400000,1720.0,141.0,"Trångsund, Huddinge kommun",59574.0,6.0,2025-10-03,Sold
Boxergränd 8,6250000,158.0,137.0,"Sköndal - Norra Sköndal, Stockholms kommun",45620.0,5.0,2023-12-02,Available
Ugglemossvägen 55,10900000,813.0,129.0,"Mälarhöjden, Stockholms kommun",84496.0,6.0,2023-12-27,Sold
Trollbäcksvägen 39A,7225000,1161.0,131.0,"Hanviken/Trollbäcken, Tyresö kommun",55153.0,5.0,2024-11-11,Sold
Torparmors väg 11,7275000,683.0,146.0,"Vinsta, Stockholms kommun",49829.0,6.0,2024-01-10,Sold
Tallstubbsbacken 20,7975000,565.0,93.0,"Spånga Solhem, Stockholms kommun",85753.0,5.0,2025-07-26,Sold
Småkaksgränd 12,10100000,665.0,136.0,"Sköndal - Kakstan, Stockholms kommun",74265.0,6.0,2023-12-31,Available
Virvelvindsvägen 24,22500000,693.0,209.0,"Bromma - Ålsten, Stockholms kommun",107656.0,8.0,2025-08-03,Available
Sofiebergsvägen 40,8100000,1130.0,144.0,"Stuvsta, Huddinge kommun",56250.0,6.0,2025-12-30,Available
Doktor Abrahams väg 67,7900000,436.0,79.0,"Eneby, Stockholms kommun",100000.0,5.0,2025-04-14,Sold
Nidarosslingan 42,6395000,298.0,119.0,"Skälby, Järfälla kommun",53739.0,5.0,2024-12-12,Available
